Stethoscope	ECG
0.0012207	0.0378418
-0.00518799	0.0393677
0.00610352	0.0405884
0.0189209	0.0411987
0.022583	0.0408936
0.0146484	0.039978
0.000915527	0.0393677
-0.00244141	0.0387573
-0.00213623	0.0384521
-0.00823975	0.0378418
-0.00701904	0.0378418
-0.00305176	0.0378418
0.00335693	0.038147
0.0216675	0.0387573
0.0338745	0.0390625
0.0241089	0.0387573
0.00671387	0.0387573
-0.0115967	0.0393677
-0.0152588	0.0393677
-0.0231934	0.0387573
-0.0366211	0.0372314
-0.0375366	0.0350952
-0.03479	0.0323486
-0.0186157	0.0299072
-0.00488281	0.0280762
-0.00762939	0.0250244
-0.00610352	0.0210571
0.0012207	0.0170898
0.0170898	0.0137329
0.032959	0.0106812
0.03479	0.00732422
0.0332642	0.00396729
0.038147	0.0012207
0.0332642	-0.0012207
0.0274658	-0.00305176
0.0109863	-0.00518799
-0.00946045	-0.00732422
-0.0164795	-0.00976563
-0.0320435	-0.012207
-0.0537109	-0.0140381
-0.0613403	-0.0161743
-0.0613403	-0.0183105
-0.045166	-0.0204468
-0.00610352	-0.0216675
0.0299072	-0.0222778
0.0485229	-0.0222778
0.0524902	-0.0219727
0.038147	-0.0216675
0.0238037	-0.0213623
0.0115967	-0.020752
-0.0109863	-0.0201416
-0.0238037	-0.020752
-0.0228882	-0.0222778
-0.0152588	-0.0228882
0	-0.0228882
0.00274658	-0.0228882
-0.00183105	-0.0231934
0.00762939	-0.0238037
0.0161743	-0.0234985
0.0186157	-0.0228882
0.0238037	-0.0216675
0.0170898	-0.0198364
-0.00488281	-0.0180054
-0.0265503	-0.0161743
-0.0509644	-0.0149536
-0.0540161	-0.0143433
-0.0576782	-0.0137329
-0.0622559	-0.0128174
-0.0469971	-0.012207
-0.020752	-0.012207
0.00335693	-0.0119019
0.00579834	-0.0112915
0.00701904	-0.0100708
0.144653	-0.00915527
0.333557	-0.0088501
0.360413	-0.0088501
0.296326	-0.0088501
0.0720215	-0.00854492
-0.179138	-0.00854492
-0.348816	-0.0088501
-0.464172	-0.00946045
-0.473328	-0.00976563
-0.394592	-0.010376
-0.258789	-0.0109863
-0.0479126	-0.0112915
0.154114	-0.0112915
0.300598	-0.0106812
0.411377	-0.00915527
0.467224	-0.00793457
0.455322	-0.00762939
0.366821	-0.00793457
0.194397	-0.00732422
-0.0143433	-0.00640869
-0.19165	-0.00610352
-0.321655	-0.00610352
-0.405273	-0.00610352
-0.41626	-0.00579834
-0.346069	-0.00579834
-0.218201	-0.00549316
-0.0689697	-0.00457764
0.0616455	-0.00366211
0.159607	-0.00396729
0.236511	-0.00457764
0.274048	-0.00488281
0.250549	-0.00518799
0.179138	-0.00549316
0.0866699	-0.00610352
-0.00396729	-0.00671387
-0.072937	-0.00732422
-0.125732	-0.00823975
-0.159912	-0.00915527
-0.162659	-0.00976563
-0.132751	-0.0106812
-0.0744629	-0.012207
-0.00732422	-0.0131226
0.039978	-0.0140381
0.0732422	-0.0143433
0.0949097	-0.0140381
0.0991821	-0.0131226
0.0912476	-0.0125122
0.0726318	-0.0115967
0.0354004	-0.0106812
-0.00549316	-0.00976563
-0.03479	-0.00793457
-0.0482178	-0.00579834
-0.0543213	-0.00518799
-0.0549316	-0.00579834
-0.0476074	-0.00640869
-0.0296021	-0.00671387
-0.017395	-0.00671387
-0.0119019	-0.00640869
-0.00823975	-0.00610352
-0.000305176	-0.00549316
0.0088501	-0.00488281
0.0216675	-0.00457764
0.0259399	-0.00457764
0.0241089	-0.00518799
0.0274658	-0.00549316
0.0268555	-0.00518799
0.0161743	-0.00518799
-0.00762939	-0.00610352
-0.0271606	-0.00762939
-0.0372314	-0.00915527
-0.0341797	-0.010376
-0.0119019	-0.0112915
0.00518799	-0.0115967
0.00732422	-0.0115967
0.0180054	-0.0119019
0.0265503	-0.0115967
0.0253296	-0.0106812
0.0216675	-0.00946045
0.00366211	-0.00823975
