L I	L III	L II(Calc.)
0.201416	-0.0546265	0.14679
0.221863	-0.0604248	0.161438
0.231323	-0.0561523	0.175171
0.228271	-0.0418091	0.186462
0.212708	-0.0204468	0.192261
0.185852	0.00427246	0.190125
0.150452	0.0292969	0.179749
0.110474	0.0494385	0.159912
0.0698853	0.0601196	0.130005
0.0326538	0.0585938	0.0912476
0.000610352	0.0445557	0.045166
-0.0253296	0.0216675	-0.00366211
-0.0448608	-0.00701904	-0.0518799
-0.0564575	-0.0378418	-0.0942993
-0.0619507	-0.0671387	-0.129089
-0.062561	-0.0909424	-0.153503
-0.06073	-0.106201	-0.166931
-0.0579834	-0.111084	-0.169067
-0.0561523	-0.105286	-0.161438
-0.0564575	-0.0897217	-0.146179
-0.0582886	-0.0683594	-0.126648
-0.0610352	-0.0457764	-0.106812
-0.0637817	-0.0234985	-0.0872803
-0.0653076	-0.00488281	-0.0701904
-0.0646973	0.00732422	-0.057373
-0.0613403	0.0134277	-0.0479126
-0.0561523	0.0146484	-0.0415039
-0.0497437	0.0128174	-0.0369263
-0.0439453	0.00976563	-0.0341797
-0.0390625	0.00610352	-0.032959
-0.0350952	0.00335693	-0.0317383
-0.0317383	0.00244141	-0.0292969
-0.0289917	0.00305176	-0.0259399
-0.0274658	0.00457764	-0.0228882
-0.0268555	0.00610352	-0.020752
-0.0265503	0.00671387	-0.0198364
-0.0262451	0.00610352	-0.0201416
-0.0262451	0.00579834	-0.0204468
-0.0256348	0.00640869	-0.0192261
-0.0244141	0.00793457	-0.0164795
-0.0234985	0.00946045	-0.0140381
-0.0231934	0.0106812	-0.0125122
-0.0228882	0.0112915	-0.0115967
-0.0222778	0.0109863	-0.0112915
-0.0216675	0.0106812	-0.0109863
-0.0213623	0.010376	-0.0109863
-0.0222778	0.00976563	-0.0125122
-0.0231934	0.0088501	-0.0143433
-0.0234985	0.00732422	-0.0161743
-0.0238037	0.00518799	-0.0186157
-0.0238037	0.00335693	-0.0204468
-0.0241089	0.00183105	-0.0222778
-0.0231934	0.0012207	-0.0219727
-0.0216675	0.0012207	-0.0204468
-0.0192261	0.0012207	-0.0180054
-0.0158691	0.00152588	-0.0143433
-0.0125122	0.00244141	-0.0100708
-0.00915527	0.00366211	-0.00549316
-0.00579834	0.00366211	-0.00213623
-0.00305176	0.00396729	0.000915527
-0.000915527	0.00366211	0.00274658
0.000610352	0.00244141	0.00305176
0.00152588	0.000915527	0.00244141
0.0012207	0	0.0012207
0	0	0
-0.00183105	-0.000305176	-0.00213623
-0.00305176	-0.000610352	-0.00366211
-0.00335693	-0.0012207	-0.00457764
-0.00274658	-0.0012207	-0.00396729
-0.00244141	-0.000610352	-0.00305176
-0.00183105	0.000610352	-0.0012207
-0.0012207	0.00152588	0.000305176
0	0.000915527	0.000915527
0.00183105	-0.000915527	0.000915527
0.00366211	-0.00183105	0.00183105
0.00518799	-0.000915527	0.00427246
0.00610352	-0.000915527	0.00518799
0.00640869	-0.00183105	0.00457764
0.00579834	-0.00305176	0.00274658
0.00518799	-0.00335693	0.00183105
0.00457764	-0.00305176	0.00152588
0.00457764	-0.00274658	0.00183105
0.00488281	-0.00244141	0.00244141
0.00518799	-0.00244141	0.00274658
0.00488281	-0.00274658	0.00213623
0.00457764	-0.00366211	0.000915527
0.00488281	-0.00488281	0
0.00579834	-0.00610352	-0.000305176
0.00732422	-0.00701904	0.000305176
0.00946045	-0.00823975	0.0012207
0.0119019	-0.0100708	0.00183105
0.0149536	-0.012207	0.00274658
0.0180054	-0.0143433	0.00366211
0.0210571	-0.0164795	0.00457764
0.0247192	-0.0186157	0.00610352
0.0280762	-0.0210571	0.00701904
0.0311279	-0.0222778	0.0088501
0.0332642	-0.0234985	0.00976563
0.0344849	-0.0250244	0.00946045
0.0350952	-0.0265503	0.00854492
0.0354004	-0.0274658	0.00793457
0.0350952	-0.027771	0.00732422
0.0354004	-0.027771	0.00762939
0.0357056	-0.0271606	0.00854492
0.0363159	-0.0268555	0.00946045
0.0369263	-0.0271606	0.00976563
0.0384521	-0.027771	0.0106812
0.0405884	-0.0283813	0.012207
